Frequency(Hz),S21_Magnitude,S21_Phase(rad)
1000000000,5.09E-07,3.029112094
1001810856,4.97E-07,3.029344205
1003621712,4.85E-07,3.029576316
1005432568,4.74E-07,3.029808427
1007243424,4.62E-07,3.030040538
1009054280,4.50E-07,3.03027265
1010865136,4.38E-07,3.030501983
1012675993,4.28E-07,3.030727922
1014486849,4.18E-07,3.030953861
1016297705,4.07E-07,3.0311798
1018108561,3.97E-07,3.031405739
1019919417,3.86E-07,3.031631679
1021730273,3.77E-07,3.031852253
1023541129,3.68E-07,3.032072232
1025351985,3.59E-07,3.032292211
1027162841,3.50E-07,3.03251219
1028973697,3.41E-07,3.032732169
1030784553,3.32E-07,3.032950133
1032595409,3.25E-07,3.033164354
1034406266,3.17E-07,3.033378576
1036217122,3.09E-07,3.033592798
1038027978,3.01E-07,3.03380702
1039838834,2.93E-07,3.034021242
1041649690,2.86E-07,3.034231014
1043460546,2.79E-07,3.034439673
1045271402,2.72E-07,3.034648332
1047082258,2.65E-07,3.034856992
1048893114,2.59E-07,3.035065651
1050703970,2.53E-07,3.035236275
1052514826,2.53E-07,3.03529279
1054325682,2.53E-07,3.035349305
1056136539,2.53E-07,3.03540582
1057947395,2.52E-07,3.035462335
1059758251,2.52E-07,3.03551885
1061569107,2.52E-07,3.035575365
1063379963,2.52E-07,3.03563188
1065190819,2.51E-07,3.035688396
1067001675,2.51E-07,3.035744911
1068812531,2.51E-07,3.035801426
1070623387,2.51E-07,3.035857941
1072434243,2.50E-07,3.035914456
1074245099,2.50E-07,3.035970971
1076055955,2.50E-07,3.036027486
1077866812,2.49E-07,3.036084001
1079677668,2.49E-07,3.036140516
1081488524,2.49E-07,3.036197032
1083299380,2.49E-07,3.036253547
1085110236,2.48E-07,3.036310062
1086921092,2.48E-07,3.036366577
1088731948,2.48E-07,3.036423092
1090542804,2.48E-07,3.036479607
1092353660,2.47E-07,3.036536122
1094164516,2.47E-07,3.036592637
1095975372,2.47E-07,3.036649152
1097786228,2.47E-07,3.036705668
1099597085,2.46E-07,3.036762183
1101407941,2.46E-07,3.036818698
1103218797,2.46E-07,3.036875213
1105029653,2.46E-07,3.036931728
1106840509,2.45E-07,3.036988243
