Frequency(Hz),S21_Magnitude,S21_Phase(rad)
1000000000.0,1.3305991942518897e-05,1.689666308077455
1001810856.0822129,1.305554278676481e-05,1.6897344955910634
1003621712.1644257,1.2805093631010741e-05,1.689802683104672
1005432568.2466387,1.2554644475256655e-05,1.6898708706182803
1007243424.3288515,1.2304195319502586e-05,1.689939058131889
1009054280.4110644,1.2053746163748501e-05,1.6900072456454973
1010865136.4932772,1.181505137291065e-05,1.6900745772702226
1012675992.5754901,1.1590723028081494e-05,1.6901408628085353
1014486848.6577029,1.1366394683252353e-05,1.6902071483468477
1016297704.7399158,1.1142066338423196e-05,1.6902734338851604
1018108560.8221287,1.0917737993594055e-05,1.690339719423473
1019919416.9043416,1.0693409648764899e-05,1.6904060049617857
1021730272.9865544,1.0490143013080495e-05,1.6904706410207362
1023541129.0687673,1.0289216567301048e-05,1.690535093804202
1025351985.1509801,1.0088290121521615e-05,1.6905995465876678
1027162841.233193,9.887363675742169e-06,1.6906639993711337
1028973697.3154058,9.686437229962734e-06,1.6907284521545995
1030784553.3976188,9.492848640369313e-06,1.6907922866220408
1032595409.4798316,9.312887497978521e-06,1.6908549727882936
1034406265.5620445,9.132926355587719e-06,1.6909176589545465
1036217121.6442573,8.952965213196927e-06,1.6909803451207992
1038027977.7264702,8.773004070806125e-06,1.691043031287052
1039838833.808683,8.593042928415333e-06,1.6911057174533048
1041649689.890896,8.428107226388324e-06,1.6911670408987187
1043460545.9731088,8.266927884452275e-06,1.6912280236639232
1045271402.0553217,8.105748542516216e-06,1.6912890064291275
1047082258.1375345,7.944569200580165e-06,1.691349989194332
1048893114.2197474,7.783389858644106e-06,1.6914109719595363
1050703970.3019602,7.660521686115286e-06,1.6914607162333835
1052514826.3841732,7.652587021808144e-06,1.6914767450331594
1054325682.466386,7.644652357501003e-06,1.691492773832935
1056136538.5485989,7.636717693193862e-06,1.691508802632711
1057947394.6308117,7.62878302888672e-06,1.6915248314324869
