Frequency(Hz),S21_Magnitude,S21_Phase(rad)
1000000000.0,2.248634099977462e-06,2.3178892010661984
1001810856.0822129,2.2004290359896798e-06,2.318018897690632
1003621712.1644257,2.152223972001901e-06,2.318148594315065
1005432568.2466387,2.1040189080141184e-06,2.3182782909394986
1007243424.3288515,2.0558138440263394e-06,2.3184079875639316
1009054280.4110644,2.007608780038557e-06,2.318537684188365
1010865136.4932772,1.9619798678188385e-06,2.31866578490513
1012675992.5754901,1.919499585537858e-06,2.318791935068078
1014486848.6577029,1.8770193032568797e-06,2.3189180852310263
1016297704.7399158,1.8345390209758987e-06,2.319044235393974
1018108560.8221287,1.7920587386949206e-06,2.319170385556922
1019919416.9043416,1.7495784564139396e-06,2.3192965357198703
1021730272.9865544,1.7116399375129009e-06,2.3194196074411644
1023541129.0687673,1.6742060589874083e-06,2.319542337113386
1025351985.1509801,1.636772180461918e-06,2.319665066785608
1027162841.233193,1.5993383019364252e-06,2.3197877964578293
1028973697.3154058,1.561904423410935e-06,2.3199105261300508
1030784553.3976188,1.5260274152135492e-06,2.3200321008122198
1032595409.4798316,1.493041737625507e-06,2.320151530512862
1034406265.5620445,1.4600560600374624e-06,2.320270960213505
1036217121.6442573,1.42707038244942e-06,2.3203903899141474
1038027977.7264702,1.3940847048613757e-06,2.3205098196147897
1039838833.808683,1.3610990272733332e-06,2.320629249315432
1041649689.890896,1.331249931958609e-06,2.3207461313136704
1043460545.9731088,1.3021849822122168e-06,2.3208623763863074
1045271402.0553217,1.2731200324658228e-06,2.3209786214589445
1047082258.1375345,1.2440550827194308e-06,2.3210948665315816
1048893114.2197474,1.2149901329730367e-06,2.3212111116042187
1050703970.3019602,1.1928825277823263e-06,2.3213060293663275
1052514826.3841732,1.1916469562586598e-06,2.3213369651968527
1054325682.466386,1.190411384734993e-06,2.321367901027378
1056136538.5485989,1.1891758132113265e-06,2.3213988368579033
1057947394.6308117,1.18794024168766e-06,2.3214297726884285
1059758250.7130246,1.1867046701639932e-06,2.321460708518954
1061569106.7952374,1.1854690986403267e-06,2.321491644349479
1063379962.8774503,1.18423352711666e-06,2.3215225801800043
1065190818.9596632,1.1829979555929934e-06,2.3215535160105296
1067001675.0418761,1.1817623840693269e-06,2.321584451841055
1068812531.1240889,1.1805268125456601e-06,2.32161538767158
1070623387.2063018,1.1792912410219936e-06,2.3216463235021054
1072434243.2885146,1.178055669498327e-06,2.3216772593326307
1074245099.3707275,1.1768200979746603e-06,2.321708195163156
1076055955.4529405,1.1755845264509938e-06,2.3217391309936812
1077866811.5351532,1.1743489549273273e-06,2.3217700668242065
1079677667.617366,1.1731133834036605e-06,2.321801002654732
1081488523.699579,1.171877811879994e-06,2.3218319384852575
1083299379.781792,1.1706422403563273e-06,2.3218628743157828
1085110235.8640046,1.1694066688326607e-06,2.321893810146308
1086921091.9462175,1.1681710973089942e-06,2.3219247459768333
1088731948.0284305,1.1669355257853275e-06,2.3219556818073586
1090542804.1106434,1.165699954261661e-06,2.321986617637884
1092353660.192856,1.1644643827379944e-06,2.322017553468409
1094164516.275069,1.1632288112143277e-06,2.3220484892989344
1095975372.357282,1.1619932396906611e-06,2.3220794251294596
1097786228.4394948,1.1607576681669944e-06,2.322110360959985
1099597084.5217075,1.1595220966433279e-06,2.32214129679051
1101407940.6039205,1.1582865251196613e-06,2.3221722326210354
1103218796.6861334,1.1570509535959946e-06,2.3222031684515607
1105029652.7683463,1.155815382072328e-06,2.322234104282086
1106840508.8505592,1.1545798105486613e-06,2.3222650401126113
1108651364.932772,1.1533442390249948e-06,2.3222959759431365
1110462221.0149848,1.1521086675013282e-06,2.322326911773662
1112273077.0971978,1.1508730959776615e-06,2.322357847604187
1114083933.1794105,1.1496375244539952e-06,2.3223887834347123
1115894789.2616234,1.1484019529303284e-06,2.3224197192652376
