Frequency(Hz),S21_Magnitude,S21_Phase(rad)
1000000000.0,9.598361593825172e-07,2.57313802314418
1001810856.0822129,9.380554307519384e-07,2.573294020295751
1003621712.1644257,9.16274702121361e-07,2.573450017447322
1005432568.2466387,8.944939734907822e-07,2.573606014598893
1007243424.3288515,8.727132448602048e-07,2.573762011750464
1009054280.4110644,8.509325162296261e-07,2.573918008902035
1010865136.4932772,8.303839085184128e-07,2.5740720983782714
1012675992.5754901,8.113412263753101e-07,2.5742238562513204
1014486848.6577029,7.922985442322086e-07,2.5743756141243694
1016297704.7399158,7.732558620891058e-07,2.574527371997418
1018108560.8221287,7.542131799460043e-07,2.574679129870467
1019919416.9043416,7.351704978029016e-07,2.574830887743516
1021730272.9865544,7.182829493492355e-07,2.5749789647708625
1023541129.0687673,7.016348601943945e-07,2.575126632815353
1025351985.1509801,6.849867710395546e-07,2.5752743008598435
1027162841.233193,6.683386818847136e-07,2.5754219689043345
1028973697.3154058,6.516905927298736e-07,2.575569636948825
1030784553.3976188,6.357754423864913e-07,2.5757159236170257
1032595409.4798316,6.212214641215334e-07,2.575859644872117
1034406265.5620445,6.066674858565744e-07,2.576003366127208
1036217121.6442573,5.921135075916164e-07,2.5761470873822994
1038027977.7264702,5.775595293266575e-07,2.5762908086373906
1039838833.808683,5.630055510616995e-07,2.576434529892482
1041649689.890896,5.49916565009501e-07,2.5765752032758025
1043460545.9731088,5.371938270104935e-07,2.5767151146911806
1045271402.0553217,5.244710890114851e-07,2.5768550261065593
1047082258.1375345,5.117483510124775e-07,2.5769949375219374
1048893114.2197474,4.990256130134692e-07,2.5771348489373156
1050703970.3019602,4.89356842221191e-07,2.5772491273180638
1052514826.3841732,4.888499730490998e-07,2.5772865065949206
1054325682.466386,4.883431038770087e-07,2.577323885871778
1056136538.5485989,4.878362347049176e-07,2.577361265148635
1057947394.6308117,4.873293655328265e-07,2.577398644425492
1059758250.7130246,4.868224963607354e-07,2.5774360237023495
1061569106.7952374,4.863156271886443e-07,2.5774734029792064
1063379962.8774503,4.858087580165532e-07,2.5775107822560637
1065190818.9596632,4.853018888444621e-07,2.5775481615329205
1067001675.0418761,4.84795019672371e-07,2.577585540809778
1068812531.1240889,4.842881505002799e-07,2.577622920086635
1070623387.2063018,4.837812813281888e-07,2.577660299363492
1072434243.2885146,4.832744121560977e-07,2.5776976786403494
1074245099.3707275,4.827675429840066e-07,2.5777350579172063
1076055955.4529405,4.822606738119155e-07,2.5777724371940636
1077866811.5351532,4.817538046398245e-07,2.5778098164709204
1079677667.617366,4.812469354677333e-07,2.5778471957477778
1081488523.699579,4.807400662956422e-07,2.577884575024635
1083299379.781792,4.802331971235511e-07,2.577921954301492
1085110235.8640046,4.7972632795146e-07,2.5779593335783493
1086921091.9462175,4.792194587793689e-07,2.577996712855206
1088731948.0284305,4.787125896072778e-07,2.5780340921320635
1090542804.1106434,4.782057204351867e-07,2.578071471408921
1092353660.192856,4.776988512630956e-07,2.5781088506857777
1094164516.275069,4.771919820910045e-07,2.578146229962635
1095975372.357282,4.766851129189134e-07,2.578183609239492
1097786228.4394948,4.761782437468223e-07,2.578220988516349
1099597084.5217075,4.756713745747312e-07,2.5782583677932065
1101407940.6039205,4.751645054026401e-07,2.5782957470700634
1103218796.6861334,4.7465763623054897e-07,2.5783331263469207
1105029652.7683463,4.7415076705845784e-07,2.5783705056237776
1106840508.8505592,4.736438978863667e-07,2.578407884900635
1108651364.932772,4.731370287142757e-07,2.5784452641774918
1110462221.0149848,4.726301595421846e-07,2.578482643454349
1112273077.0971978,4.7212329037009346e-07,2.5785200227312064
1114083933.1794105,4.716164211980024e-07,2.5785574020080633
1115894789.2616234,4.7110955202591127e-07,2.5785947812849206
1117705645.3438363,4.7060268285382015e-07,2.5786321605617775
1119516501.4260492,4.700958136817291e-07,2.578669539838635
1121327357.5082622,4.6958894450963796e-07,2.578706919115492
1123138213.5904748,4.690820753375469e-07,2.578744298392349
1124949069.6726878,4.6857520616545577e-07,2.5787816776692063
1126759925.7549007,4.6806833699336465e-07,2.578819056946063
1128570781.8371134,4.675614678212736e-07,2.5788564362229205
1130381637.9193263,4.6705459864918246e-07,2.578893815499778
1132192494.0015392,4.665477294770914e-07,2.5789311947766347
